,element_name,comment_
0,ATLMDTPS3:CAEN/PSMDT01/branchController15/easyCrate3/easyBoard05/channel002.actual.vMon,MDT PS EC EML2C03 | EML3C03 LV Vmon
1,ATLMDTPS3:CAEN/PSMDT01/branchController15/easyCrate2/easyBoard01/channel002.actual.vMon,MDT PS EC EML4C13 | EML5C13 LV Vmon
2,ATLMDTPS3:CAEN/PSMDT01/branchController15/easyCrate2/easyBoard09/channel002.actual.vMon,MDT PS EC EMS4C16 | EMS5C16 LV Vmon
3,ATLMDTPS2:CAEN/PSMDT02/branchController02/easyCrate2/easyBoard05/channel001.actual.vMon,MDT PS BC BML4C11 | BML5C11 LV Vmon
4,ATLMDTPS2:CAEN/PSMDT02/branchController03/easyCrate0/easyBoard13/channel003.actual.vMon,MDT PS BA BIR1A11 | BIR2A11 LV Vmon
5,ATLMDTPS2:CAEN/PSMDT02/branchController06/easyCrate3/easyBoard17/channel001.actual.vMon,MDT PS BC BML4C05 | BML5C05 LV Vmon
6,ATLMDTPS2:CAEN/PSMDT02/branchController02/easyCrate0/easyBoard13/channel000.actual.vMon,MDT PS BA BML2A09 | BML3A09 LV Vmon
7,ATLMDTPS3:CAEN/PSMDT02/branchController07/easyCrate1/easyBoard17/channel003.actual.vMon,MDT PS EA BIS7A14 | BIS8A14 | BIS8A16 LV Vmon
8,ATLMDTPS3:CAEN/PSMDT01/branchController12/easyCrate2/easyBoard05/channel005.actual.vMon,MDT PS EA EEL1A11 | EEL2A11 LV Vmon
9,ATLMDTPS2:CAEN/PSMDT02/branchController01/easyCrate3/easyBoard01/channel001.actual.vMon,MDT PS BC BOL2C07 | BOS2C08 LV Vmon
10,ATLMDTPS2:CAEN/PSMDT02/branchController06/easyCrate3/easyBoard09/channel001.actual.vMon,MDT PS BA BMS5A04 | BMS5A06 LV Vmon
11,ATLMDTPS3:CAEN/PSMDT01/branchController10/easyCrate0/easyBoard09/channel000.actual.vMon,MDT PS EA EOL3A11 | EOL4A11 LV Vmon
12,ATLMDTPS3:CAEN/PSMDT01/branchController14/easyCrate4/easyBoard09/channel001.actual.vMon,MDT PS EA EMS4A08 | EMS5A08 LV Vmon
13,ATLMDTPS2:CAEN/PSMDT02/branchController07/easyCrate1/easyBoard13/channel004.actual.vMon,MDT PS BA BIR3A15 | BIR6A15 LV Vmon
14,ATLMDTPS2:CAEN/PSMDT02/branchController06/easyCrate0/easyBoard17/channel000.actual.vMon,MDT PS BA BMS4A16 | BMS6A16 LV Vmon
15,ATLMDTPS3:CAEN/PSMDT01/branchController11/easyCrate3/easyBoard09/channel001.actual.vMon,MDT PS EC EOL5C03 | EOL6C03 LV Vmon
16,ATLMDTPS2:CAEN/PSMDT02/branchController00/easyCrate1/easyBoard13/channel000.actual.vMon,MDT PS BA BOL1A11 | BOL3A11 LV Vmon
17,ATLMDTPS3:CAEN/PSMDT01/branchController15/easyCrate4/easyBoard01/channel002.actual.vMon,MDT PS EC EML4C05 | EML5C05 LV Vmon
18,ATLMDTPS2:CAEN/PSMDT02/branchController05/easyCrate2/easyBoard05/channel002.actual.vMon,MDT PS BC BOS5C04 | BOS6C04 LV Vmon
19,ATLMDTPS3:CAEN/PSMDT01/branchController14/easyCrate4/easyBoard01/channel001.actual.vMon,MDT PS EA EML2A05 | EML3A05 LV Vmon
20,ATLMDTPS3:CAEN/PSMDT01/branchController14/easyCrate2/easyBoard09/channel001.actual.vMon,MDT PS EA EMS4A16 | EMS5A16 LV Vmon
21,ATLMDTPS3:CAEN/PSMDT01/branchController10/easyCrate4/easyBoard09/channel002.actual.vMon,MDT PS EA EOS2A08 | EOS3A08 LV Vmon
22,ATLMDTPS3:CAEN/PSMDT01/branchController11/easyCrate3/easyBoard01/channel001.actual.vMon,MDT PS EC EOL3C01 | EOL4C01 LV Vmon
23,ATLMDTPS3:CAEN/PSMDT01/branchController11/easyCrate4/easyBoard01/channel002.actual.vMon,MDT PS EC EOL5C05 | EOL6C05 LV Vmon
24,ATLMDTPS3:CAEN/PSMDT01/branchController11/easyCrate0/easyBoard09/channel002.actual.vMon,MDT PS EC EOS2C12 | EOS3C12 LV Vmon
25,ATLMDTPS3:CAEN/PSMDT01/branchController14/easyCrate0/easyBoard05/channel002.actual.vMon,MDT PS EA EML2A11 | EML3A11 LV Vmon
26,ATLMDTPS2:CAEN/PSMDT02/branchController03/easyCrate0/easyBoard09/channel000.actual.vMon,MDT PS BA BIL1A09 | BIL2A09 LV Vmon
