
Run, Periods, PTag, StartTime, EndTime, EBeam, Colliding, FirstStable, LastStable, LStableDel, LStableRec, LStableRecPercent, LReadyRec, LReadyRecPercent, LPeakStable, PeakMu, AvgMu, ChargePerBunch, X, Y, Z, dX, dY, dZ
456016, -, -, 23/07/06 02:19, 23/07/06 09:29, 6800, 2452, 134, 744, 56.7, 426.578, 403.624, 94.6%, 403.167, 94.5%, 20960.0, 60.8, 56.7, 1.539, -0.596, -0.394, -3.8, 0.013, 0.013, 38.5
455975, -, -, 23/07/05 10:17, 23/07/06 01:09, 6800, 2452, 352, 1405, 48.4, 687.803, 631.473, 91.8%, 631.036, 91.7%, 20803.0, 60.4, 48.4, 1.491, -0.599, -0.387, -4.0, 0.012, 0.013, 36.6
455924, -, -, 23/07/04 17:32, 23/07/05 08:18, 6800, 2345, 188, 1367, 48.6, 728.501, 700.023, 96.1%, 699.599, 96.0%, 20212.0, 61.3, 48.6, 1.536, -0.598, -0.38, -3.4, 0.008, 0.008, 37.4
455899, -, -, 23/07/03 18:06, 23/07/04 16:02, 6800, 2345, 732, 1949, 47.9, 549.787, 523.871, 95.3%, 523.87, 95.3%, 21305.0, 64.6, 47.9, 1.467, -0.6, -0.377, -4.7, 0.007, 0.008, 36.2
455870, -, -, 23/07/03 01:11, 23/07/03 06:27, 6800, 1873, 106, 505, 55.6, 173.798, 160.83, 92.5%, 160.468, 92.3%, 16356.0, 62.1, 55.6, 1.48, -0.607, -0.363, -8.7, 0.009, 0.009, 40.0
455857, -, -, 23/07/02 17:39, 23/07/02 23:31, 6800, 1165, 104, 657, 57.1, 166.858, 159.715, 95.7%, 159.469, 95.6%, 10202.0, 62.3, 57.1, 1.512, -0.61, -0.354, -6.2, 0.008, 0.008, 38.0
455838, -, -, 23/07/02 06:10, 23/07/02 12:02, 6800, 898, 0, 646, 59.3, 91.57, 89.494, 97.7%, 89.494, 97.7%, 7764.0, 61.7, 59.3, 1.463, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
455837, -, -, 23/07/02 04:12, 23/07/02 05:53, 6800, 898, 149, 215, 39.2, 7.313, 3.489, 47.7%, 3.32, 45.4%, 5711.0, 45.2, 39.2, 1.518, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
455818, -, -, 23/07/01 19:22, 23/07/01 23:56, 6800, 386, 0, 439, 47.4, 3.098, 1.061, 34.3%, 1.037, 33.5%, 3218.0, 59.3, 47.4, 1.457, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
455814, -, -, 23/07/01 17:59, 23/07/01 19:16, 6800, 386, 98, 190, 36.1, 3.352, 2.822, 84.2%, 2.767, 82.6%, 2395.0, 44.1, 36.1, 1.519, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
455795, -, -, 23/07/01 01:30, 23/07/01 16:46, 6800, 131, 754, 1417, 48.9, 3.12, 3.038, 97.4%, 2.955, 94.7%, 521.0, 59.8, 48.9, 1.653, -0.693, -0.356, -8.2, 0.008, 0.008, 40.7
455702, -, -, 23/06/30 08:16, 23/06/30 23:17, 6800, 140, 302, 1054, 59.7, 15.897, 12.439, 78.2%, 12.438, 78.2%, 1298.0, 66.0, 59.7, 1.53, -0.691, -0.359, 4.9, 0.012, 0.011, 39.7
455623, -, -, 23/06/28 20:42, 23/06/29 23:24, 6800, 136, 99, 2191, 0.5, 0.776, 0.767, 98.8%, 0.766, 98.7%, 10.0, 0.541, 0.516, 0.765, -0.689, -0.445, -5.7, 0.061, 0.053, 43.3
455589, -, -, 23/06/28 09:38, 23/06/28 20:14, 6800, 136, 173, 1025, 0.5, 0.125, 0.123, 98.9%, 0.121, 96.7%, 11.0, 0.55, 0.484, 0.79, -0.69, -0.443, -6.1, 0.061, 0.059, 46.9
454949, -, -, 23/06/20 16:07, 23/06/20 16:46, 7860, -, 22, 30, -, 0.0, 0.0, , 0.0, , 0.0, 0.0, 0.0, 0.0, -, -, -, -, -, -
454322, F18 F AllYear, data23_13p6TeV, 23/06/12 23:15, 23/06/13 11:09, 6800, 2345, 612, 1253, 56.8, 433.427, 409.79, 94.5%, 409.412, 94.5%, 19995.0, 60.7, 56.8, 1.512, -0.592, -0.423, -5.5, 0.008, 0.008, 38.5
454222, F18 F AllYear, data23_13p6TeV, 23/06/11 23:16, 23/06/12 11:11, 6800, 2345, 185, 1157, 53.6, 649.889, 618.423, 95.2%, 618.031, 95.1%, 20230.0, 61.4, 53.6, 1.561, -0.588, -0.423, -5.7, 0.008, 0.009, 39.0
454188, F18 F AllYear, data23_13p6TeV, 23/06/11 12:32, 23/06/11 21:33, 6800, 2345, 157, 950, 56.3, 533.484, 512.427, 96.1%, 511.829, 95.9%, 20333.0, 61.7, 56.3, 1.571, -0.589, -0.425, -5.5, 0.008, 0.008, 38.2
454163, F18 F AllYear, data23_13p6TeV, 23/06/10 23:13, 23/06/11 10:57, 6800, 2345, 361, 1254, 55.4, 565.456, 542.695, 96.0%, 542.241, 95.9%, 20079.0, 60.9, 55.4, 1.572, -0.588, -0.424, -7.7, 0.008, 0.008, 38.0
454129, F18 F AllYear, data23_13p6TeV, 23/06/10 06:42, 23/06/10 19:36, 6800, 2345, 326, 1361, 52.2, 616.999, 595.877, 96.6%, 595.482, 96.5%, 20091.0, 61.0, 52.2, 1.524, -0.588, -0.426, -6.2, 0.008, 0.008, 37.5
454083, F17 F AllYear, data23_13p6TeV, 23/06/09 07:52, 23/06/10 05:20, 6800, 2345, 804, 2018, 49.9, 776.515, 737.54, 95.0%, 737.133, 94.9%, 22615.0, 68.6, 49.9, 1.547, -0.59, -0.423, -5.5, 0.008, 0.008, 37.1
454054, F16 F AllYear, data23_13p6TeV, 23/06/08 18:31, 23/06/09 04:38, 6800, 2345, 586, 1074, 56.3, 324.295, 307.226, 94.7%, 306.864, 94.6%, 19901.0, 60.4, 56.3, 1.491, -0.595, -0.417, -5.5, 0.008, 0.009, 38.6
453981, F16 F AllYear, data23_13p6TeV, 23/06/07 22:22, 23/06/08 13:51, 6800, 2345, 510, 1588, 50.8, 649.222, 621.329, 95.7%, 620.922, 95.6%, 20504.0, 62.2, 50.8, 1.512, -0.598, -0.417, -6.0, 0.009, 0.009, 40.6
453858, F16 F AllYear, data23_13p6TeV, 23/06/07 00:03, 23/06/07 11:23, 6800, 2345, 87, 1241, 52.0, 637.75, 607.591, 95.3%, 607.052, 95.2%, 20268.0, 61.5, 52.0, 1.52, -0.591, -0.426, -6.3, 0.008, 0.008, 37.4
453816, F16 F AllYear, data23_13p6TeV, 23/06/06 03:36, 23/06/06 22:00, 6800, 2345, 303, 1820, 46.7, 824.178, 778.17, 94.4%, 777.983, 94.4%, 19879.0, 60.3, 46.7, 1.519, -0.591, -0.428, -5.3, 0.007, 0.007, 35.5
453795, F16 F AllYear, data23_13p6TeV, 23/06/05 11:49, 23/06/06 01:11, 6800, 2345, 373, 1277, 48.4, 552.784, 514.769, 93.1%, 514.609, 93.1%, 19853.0, 60.2, 48.4, 1.414, -0.594, -0.426, -5.4, 0.008, 0.008, 36.6
453754, F16 F AllYear, data23_13p6TeV, 23/06/04 20:20, 23/06/05 10:11, 6800, 2345, 185, 1413, 48.3, 685.099, 649.007, 94.7%, 648.628, 94.7%, 20159.0, 61.2, 48.3, 1.474, -0.593, -0.423, -3.4, 0.007, 0.007, 36.0
453733, F16 F AllYear, data23_13p6TeV, 23/06/04 13:24, 23/06/04 19:21, 6800, 2345, 406, 752, 55.6, 195.431, 186.05, 95.2%, 185.616, 95.0%, 20018.0, 60.7, 55.6, 1.481, -0.597, -0.416, -6.2, 0.009, 0.009, 42.0
453713, F15 F AllYear, data23_13p6TeV, 23/06/03 21:46, 23/06/04 12:12, 6800, 1873, 469, 1488, 51.6, 480.929, 450.385, 93.6%, 450.223, 93.6%, 16425.0, 62.4, 51.6, 1.461, -0.593, -0.418, -4.9, 0.007, 0.007, 36.2
453657, F14 F AllYear, data23_13p6TeV, 23/06/03 14:10, 23/06/03 16:23, 6800, 1873, 109, 319, 52.2, 69.386, 66.762, 96.2%, 66.622, 96.0%, 16315.0, 62.0, 52.2, 1.477, -0.594, -0.417, -5.2, 0.01, 0.01, 44.3
453644, F14 F AllYear, data23_13p6TeV, 23/06/03 01:23, 23/06/03 13:04, 6800, 1637, 122, 1186, 50.4, 423.924, 413.288, 97.5%, 413.067, 97.4%, 14339.0, 62.3, 50.4, 1.481, -0.593, -0.42, -4.7, 0.007, 0.007, 36.5
453617, F14 F AllYear, data23_13p6TeV, 23/06/02 17:09, 23/06/02 23:43, 6800, 1637, 142, 833, 56.7, 249.583, 233.745, 93.7%, 233.515, 93.6%, 14358.0, 62.4, 56.7, 1.482, -0.598, -0.416, -6.2, 0.007, 0.008, 38.0
453556, F14 F AllYear, data23_13p6TeV, 23/06/01 23:53, 23/06/02 10:24, 6800, 1873, 33, 1083, 45.6, 420.396, 406.583, 96.7%, 406.462, 96.7%, 15770.0, 59.9, 45.6, 1.345, -0.595, -0.421, -4.8, 0.007, 0.007, 36.8
453530, F13 F AllYear, data23_13p6TeV, 23/06/01 10:41, 23/06/01 21:21, 6800, 2345, 584, 1206, 50.7, 240.87, 204.637, 85.0%, 204.544, 84.9%, 13912.0, 60.5, 50.7, 1.333, -0.599, -0.417, -6.0, 0.007, 0.007, 36.8
453353, F12 F AllYear, data23_13p6TeV, 23/05/31 00:45, 23/05/31 05:58, 6800, 1182, 200, 612, 51.9, 100.502, 93.483, 93.0%, 93.483, 93.0%, 9643.0, 58.0, 51.9, 1.313, -0.597, -0.414, -5.7, 0.007, 0.007, 36.3
453319, F11 F AllYear, data23_13p6TeV, 23/05/30 18:20, 23/05/30 23:03, 6800, 693, 179, 631, 52.1, 59.158, 47.763, 80.7%, 47.763, 80.7%, 5479.0, 56.2, 52.1, 1.311, -0.599, -0.405, -6.5, 0.007, 0.008, 37.1
452872, F10 F AllYear, data23_13p6TeV, 23/05/24 17:57, 23/05/25 07:48, 6800, 2345, 212, 1324, 53.6, 746.388, 694.261, 93.0%, 693.989, 93.0%, 20134.0, 61.1, 53.6, 1.574, -0.597, -0.439, -6.3, 0.007, 0.007, 36.7
452843, F10 F AllYear, data23_13p6TeV, 23/05/23 18:17, 23/05/24 16:19, 6800, 2345, 759, 2064, 51.8, 862.802, 824.16, 95.5%, 823.986, 95.5%, 20018.0, 60.7, 51.8, 1.589, -0.6, -0.436, -5.7, 0.007, 0.007, 36.6
452799, F10 F AllYear, data23_13p6TeV, 23/05/23 00:39, 23/05/23 15:16, 6800, 2345, 173, 1304, 51.2, 753.627, 676.461, 89.8%, 675.763, 89.7%, 19710.0, 59.8, 51.2, 1.565, -0.605, -0.434, -5.0, 0.007, 0.007, 36.7
452787, F10 F AllYear, data23_13p6TeV, 23/05/22 21:07, 23/05/22 22:56, 6800, 2345, 0, 206, 56.2, 118.064, 84.348, 71.4%, 84.271, 71.4%, 19206.0, 58.3, 56.2, 1.471, -0.61, -0.429, -8.1, 0.008, 0.008, 39.5
452785, F10 F AllYear, data23_13p6TeV, 23/05/22 17:03, 23/05/22 20:54, 6800, 2345, 331, 391, 24.1, 24.339, 5.491, 22.6%, 5.307, 21.8%, 12568.0, 38.1, 24.1, 1.577, -0.618, -0.407, -8.3, 0.013, 0.013, 47.9
452726, F10 F AllYear, data23_13p6TeV, 23/05/21 20:24, 23/05/22 06:07, 6800, 2361, 754, 897, 45.7, 53.715, 51.248, 95.4%, 51.064, 95.1%, 19137.0, 57.7, 45.7, 1.556, -0.613, -0.42, -8.8, 0.011, 0.011, 45.4
452696, F10 F AllYear, data23_13p6TeV, 23/05/21 13:01, 23/05/21 20:24, 6800, 2361, 395, 606, 50.8, 94.02, 89.824, 95.5%, 89.651, 95.4%, 19261.0, 58.0, 50.8, 1.572, -0.611, -0.428, -6.8, 0.01, 0.01, 44.0
452669, F10 F AllYear, data23_13p6TeV, 23/05/20 22:53, 23/05/21 10:31, 6800, 2361, 664, 1107, 55.3, 297.057, 280.028, 94.3%, 279.862, 94.2%, 19741.0, 59.5, 55.3, 1.459, -0.609, -0.437, -5.5, 0.008, 0.008, 39.2
452640, F10 F AllYear, data23_13p6TeV, 23/05/20 03:16, 23/05/20 08:03, 6800, 2361, 228, 551, 54.1, 162.731, 150.552, 92.5%, 150.43, 92.4%, 19671.0, 59.3, 54.1, 1.549, -0.605, -0.439, -5.6, 0.009, 0.009, 42.3
452624, F10 F AllYear, data23_13p6TeV, 23/05/19 16:42, 23/05/19 23:05, 6800, 2361, 337, 634, 54.7, 217.309, 205.767, 94.7%, 205.42, 94.5%, 19659.0, 59.2, 54.7, 1.582, -0.606, -0.435, -6.2, 0.01, 0.01, 42.9
452573, F9 F AllYear, data23_13p6TeV, 23/05/18 09:50, 23/05/19 06:24, 6800, 2361, 544, 1921, 47.8, 826.818, 762.831, 92.3%, 762.694, 92.2%, 20429.0, 61.6, 47.8, 1.456, -0.6, -0.45, -4.4, 0.007, 0.007, 35.9
452533, F9 F AllYear, data23_13p6TeV, 23/05/17 23:13, 23/05/18 05:17, 6800, 2361, 164, 648, 55.8, 314.555, 291.435, 92.6%, 291.272, 92.6%, 20043.0, 60.4, 55.8, 1.478, -0.601, -0.447, -4.8, 0.008, 0.008, 39.4
452463, F9 F AllYear, data23_13p6TeV, 23/05/17 02:59, 23/05/17 14:10, 6800, 2361, 222, 1151, 51.9, 559.188, 466.226, 83.4%, 466.042, 83.3%, 20175.0, 60.8, 51.9, 1.391, -0.604, -0.444, -3.9, 0.007, 0.007, 35.9
452266, VDM4 VDM, data23_13p6TeV, 23/05/16 10:03, 23/05/16 20:53, 6800, 9, 285, 1240, 23.2, 0.547, 0.545, 99.7%, 0.539, 98.5%, 36.0, 28.6, 23.2, 0.951, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
452241, F8 F AllYear, data23_13p6TeV, 23/05/15 22:53, 23/05/16 06:45, 6800, 2361, 189, 806, 55.6, 410.506, 384.262, 93.6%, 384.116, 93.6%, 20058.0, 60.4, 55.6, 1.4, -0.603, -0.452, -4.7, 0.007, 0.007, 37.0
452202, F8 F AllYear, data23_13p6TeV, 23/05/15 02:41, 23/05/15 19:53, 6800, 2361, 514, 1647, 50.1, 699.717, 665.322, 95.1%, 665.148, 95.1%, 20260.0, 61.0, 50.1, 1.414, -0.603, -0.451, -4.7, 0.007, 0.007, 36.3
452163, F8 F AllYear, data23_13p6TeV, 23/05/14 07:26, 23/05/15 00:56, 6800, 2361, 494, 1548, 47.5, 660.956, 629.313, 95.2%, 629.178, 95.2%, 20087.0, 60.5, 47.5, 1.357, -0.603, -0.445, -4.5, 0.007, 0.007, 35.2
452028, F8 F AllYear, data23_13p6TeV, 23/05/12 13:55, 23/05/13 06:11, 6800, 2361, 387, 1549, 46.1, 698.113, 668.773, 95.8%, 668.554, 95.8%, 19826.0, 59.7, 46.1, 1.381, -0.607, -0.443, -4.6, 0.007, 0.007, 35.2
451936, -, -, 23/05/12 02:04, 23/05/12 03:34, 6800, 2361, 176, 186, 30.1, 1.166, 0.393, 33.7%, 0.25, 21.5%, 10451.0, 31.5, 30.1, 1.373, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
451896, F8 F AllYear, data23_13p6TeV, 23/05/11 09:43, 23/05/11 21:47, 6800, 2361, 236, 1233, 42.3, 483.174, 451.66, 93.5%, 451.561, 93.5%, 19384.0, 58.4, 42.3, 1.285, -0.607, -0.442, -3.8, 0.008, 0.008, 37.8
451866, F7 F AllYear, data23_13p6TeV, 23/05/10 18:39, 23/05/11 05:01, 6800, 1890, 355, 1262, 46.7, 325.309, 266.432, 81.9%, 266.344, 81.9%, 15840.0, 59.6, 46.7, 1.31, -0.614, -0.439, -4.2, 0.007, 0.007, 36.0
451804, F6 F AllYear, data23_13p6TeV, 23/05/10 05:31, 23/05/10 15:11, 6800, 1805, 15, 1050, 41.0, 335.792, 318.741, 94.9%, 315.073, 93.8%, 14173.0, 55.9, 41.0, 1.34, -0.61, -0.445, -5.6, 0.007, 0.007, 36.4
451794, F6 F AllYear, data23_13p6TeV, 23/05/09 14:09, 23/05/10 03:07, 6800, 1805, 470, 1311, 43.5, 353.594, 341.353, 96.5%, 341.259, 96.5%, 12064.0, 47.5, 43.5, 1.341, -0.613, -0.447, -3.1, 0.007, 0.007, 35.7
451735, F6 F AllYear, data23_13p6TeV, 23/05/08 17:55, 23/05/09 12:18, 6800, 1805, 647, 1896, 30.0, 331.822, 314.755, 94.9%, 311.657, 93.9%, 8619.0, 34.0, 30.0, 1.434, -0.611, -0.438, -1.2, 0.008, 0.008, 37.6
451618, F6 F AllYear, data23_13p6TeV, 23/05/07 21:55, 23/05/08 06:08, 6800, 1805, 112, 982, 53.7, 350.784, 330.715, 94.3%, 330.584, 94.2%, 17590.0, 69.3, 53.7, 1.416, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0
451611, F5 F AllYear, data23_13p6TeV, 23/05/07 08:27, 23/05/07 20:49, 6800, 1150, 120, 1211, 49.8, 315.856, 299.121, 94.7%, 299.04, 94.7%, 9908.0, 61.3, 49.8, 1.38, -0.613, -0.433, -4.9, 0.01, 0.01, 35.2
451595, F5 F AllYear, data23_13p6TeV, 23/05/06 18:50, 23/05/07 06:35, 6800, 1150, 162, 1125, 52.3, 307.364, 295.407, 96.1%, 295.345, 96.1%, 9924.0, 61.4, 52.3, 1.397, -0.612, -0.429, -5.2, 0.007, 0.007, 34.9
451587, F5 F AllYear, data23_13p6TeV, 23/05/06 12:58, 23/05/06 17:18, 6800, 1150, 76, 608, 57.0, 117.88, 81.333, 69.0%, 81.209, 68.9%, 9977.0, 61.7, 57.0, 1.456, -0.614, -0.431, -6.4, 0.007, 0.007, 38.0
451569, F4 F AllYear, data23_13p6TeV, 23/05/06 04:16, 23/05/06 10:35, 6800, 986, 180, 670, 57.1, 130.849, 126.19, 96.4%, 126.022, 96.3%, 8506.0, 61.4, 57.1, 1.43, -0.615, -0.426, -10.2, 0.008, 0.009, 41.9
451557, F4 F AllYear, data23_13p6TeV, 23/05/05 20:19, 23/05/06 02:16, 6800, 986, 263, 646, 54.1, 86.318, 76.629, 88.8%, 75.207, 87.1%, 8464.0, 61.1, 54.1, 1.457, -0.617, -0.428, -5.9, 0.008, 0.008, 40.6
451543, F3 F AllYear, data23_13p6TeV, 23/05/05 12:30, 23/05/05 18:57, 6800, 386, 178, 947, 57.7, 58.468, 40.47, 69.2%, 40.447, 69.2%, 3320.0, 61.2, 57.7, 1.438, -0.619, -0.422, -7.7, 0.008, 0.008, 37.2
451295, F2 F AllYear, data23_13p6TeV, 23/05/02 18:48, 23/05/03 10:50, 6800, 986, 763, 1450, 54.6, 203.923, 190.293, 93.3%, 190.168, 93.3%, 8482.0, 61.2, 54.6, 1.404, -0.609, -0.427, -3.9, 0.006, 0.007, 33.8
451140, F2 F AllYear, data23_13p6TeV, 23/05/01 22:55, 23/05/02 11:59, 6800, 986, 149, 1058, 46.5, 254.436, 243.71, 95.8%, 243.645, 95.8%, 8506.0, 61.4, 46.5, 1.313, -0.615, -0.421, -3.7, 0.007, 0.007, 32.9
451094, F1 F AllYear, data23_13p6TeV, 23/05/01 12:11, 23/05/01 21:21, 6800, 898, 149, 944, 51.0, 179.11, 164.315, 91.7%, 164.267, 91.7%, 7694.0, 61.0, 51.0, 1.322, -0.622, -0.416, -4.7, 0.006, 0.006, 33.3
451063, E3 E AllYear, data23_13p6TeV, 23/05/01 01:13, 23/05/01 03:59, 6800, 386, 214, 370, 53.4, 9.345, 8.248, 88.3%, 8.224, 88.0%, 3291.0, 60.7, 53.4, 1.45, -0.707, -0.424, -4.4, 0.008, 0.008, 40.2
451046, E3 E AllYear, data23_13p6TeV, 23/04/30 19:28, 23/05/01 00:13, 6800, 386, 98, 552, 57.8, 42.118, 38.175, 90.6%, 38.124, 90.5%, 3309.0, 61.0, 57.8, 1.469, -0.706, -0.422, -5.3, 0.009, 0.01, 42.3
451037, E3 E AllYear, data23_13p6TeV, 23/04/30 09:14, 23/04/30 18:21, 6800, 386, 214, 1061, 53.7, 76.069, 68.378, 89.9%, 67.889, 89.2%, 3316.0, 61.1, 53.7, 1.355, -0.708, -0.426, -4.6, 0.008, 0.008, 38.1
451022, E2 E AllYear, data23_13p6TeV, 23/04/29 19:10, 23/04/30 05:21, 6800, 386, 151, 870, 50.4, 83.71, 78.813, 94.1%, 78.775, 94.1%, 3322.0, 61.2, 50.4, 1.342, -0.704, -0.427, -4.4, 0.006, 0.006, 32.5
450997, E2 E AllYear, data23_13p6TeV, 23/04/28 17:23, 23/04/29 18:07, 6800, 398, 1389, 2070, 47.2, 75.267, 71.557, 95.1%, 71.539, 95.0%, 3370.0, 60.2, 47.2, 1.29, -0.706, -0.437, -7.0, 0.007, 0.007, 33.9
