element_name,value_string,ts
lumiBlock,148,2023-05-01 22:15:06.475721
BIL5C01 HV ML1 fsm,ON,2023-05-01 22:15:23.091000
BIL5C01 HV ML2 fsm,ON,2023-05-01 22:15:23.091000
BIL5C01 HV ML1 fsm,RAMP_UP,2023-05-01 22:15:23.961000
BIL5C01 HV ML2 fsm,RAMP_UP,2023-05-01 22:15:23.963000
lumiBlock,150,2023-05-01 22:15:45.006772
BIL5C01 HV ML1 fsm,ON,2023-05-01 22:16:05.502000
BIL5C01 HV ML2 fsm,ON,2023-05-01 22:16:05.506000
lumiBlock,1058,2023-05-02 09:43:44.979214
BIL5C01 HV ML1 fsm,STANDBY,2023-05-02 09:44:05.847000
BIL5C01 HV ML2 fsm,STANDBY,2023-05-02 09:44:05.847000
BIL5C01 HV ML2 fsm,RAMP_DOWN,2023-05-02 09:44:07.747000
BIL5C01 HV ML1 fsm,RAMP_DOWN,2023-05-02 09:44:07.747000
lumiBlock,1060,2023-05-02 09:44:20.845413
BIL5C01 HV ML2 fsm,STANDBY,2023-05-02 09:44:21.741000
BIL5C01 HV ML1 fsm,STANDBY,2023-05-02 09:44:21.741000
lumiBlock,1090,2023-05-02 09:59:06.361096
