element_name,value_string,ts
lumiBlock,643,2023-05-01 22:15:16.016207
BIM3A11 HV ML1 fsm,RAMP_UP,2023-05-01 22:15:20.959000
BIM3A11 HV ML2 fsm,ON,2023-05-01 22:15:23.046000
BIM3A11 HV ML2 fsm,RAMP_UP,2023-05-01 22:15:26.973000
BIM3A11 HV ML2 fsm,ON,2023-05-01 22:16:00.522000
BIM3A11 HV ML1 fsm,ON,2023-05-01 22:16:05.501000
lumiBlock,1090,2023-05-02 03:59:06.361096
BIM3A11 HV ML2 fsm,STANDBY,2023-05-02 09:44:05.827000
BIM3A11 HV ML1 fsm,STANDBY,2023-05-02 09:44:05.827000
BIM3A11 HV ML1 fsm,RAMP_DOWN,2023-05-02 09:44:07.741000
BIM3A11 HV ML2 fsm,RAMP_DOWN,2023-05-02 09:44:08.731000
BIM3A11 HV ML1 fsm,STANDBY,2023-05-02 09:44:20.747000
BIM3A11 HV ML2 fsm,STANDBY,2023-05-02 09:44:21.734000
