element_name,value_string,ts
lumiBlock,764,2023-05-03 00:55:39.323961
BIR4A11 HV ML1 fsm,ON,2023-05-03 00:55:39.459000
BIR4A11 HV ML2 fsm,ON,2023-05-03 00:55:39.459000
BIR4A11 HV ML2 fsm,RAMP_UP,2023-05-03 00:55:42.420000
BIR4A11 HV ML1 fsm,RAMP_UP,2023-05-03 00:55:42.420000
lumiBlock,766,2023-05-03 00:56:08.066293
BIR4A11 HV ML1 fsm,ON,2023-05-03 00:56:16.429000
BIR4A11 HV ML2 fsm,ON,2023-05-03 00:56:23.418000
lumiBlock,1450,2023-05-03 08:44:29.495320
BIR4A11 HV ML1 fsm,RAMP_DOWN,2023-05-03 08:44:46.492000
BIR4A11 HV ML2 fsm,RAMP_DOWN,2023-05-03 08:44:46.492000
BIR4A11 HV ML1 fsm,STANDBY,2023-05-03 08:44:58.447000
BIR4A11 HV ML2 fsm,STANDBY,2023-05-03 08:44:58.448000
lumiBlock,1460,2023-05-03 08:50:21.288417
