element_name,value_string,ts
lumiBlock,764,2023-05-03 00:55:39.323961
BIS3A06 HV ML2 fsm,ON,2023-05-03 00:55:39.460000
BIS3A06 HV ML1 fsm,ON,2023-05-03 00:55:39.460000
BIS3A06 HV ML2 fsm,RAMP_UP,2023-05-03 00:55:40.378000
BIS3A06 HV ML1 fsm,RAMP_UP,2023-05-03 00:55:40.378000
lumiBlock,766,2023-05-03 00:56:08.066293
BIS3A06 HV ML1 fsm,ON,2023-05-03 00:56:21.437000
BIS3A06 HV ML2 fsm,ON,2023-05-03 00:56:21.438000
lumiBlock,1450,2023-05-03 08:44:29.495320
BIS3A06 HV ML1 fsm,RAMP_DOWN,2023-05-03 08:44:44.404000
BIS3A06 HV ML2 fsm,RAMP_DOWN,2023-05-03 08:44:44.405000
lumiBlock,1451,2023-05-03 08:45:00.927368
BIS3A06 HV ML1 fsm,STANDBY,2023-05-03 08:45:02.410000
BIS3A06 HV ML2 fsm,STANDBY,2023-05-03 08:45:02.411000
lumiBlock,1460,2023-05-03 08:50:21.288417
