element_name,value_string,ts
lumiBlock,764,2023-05-03 00:55:39.323961
BOL1C09 HV ML2 fsm,ON,2023-05-03 00:55:39.503000
BOL1C09 HV ML1 fsm,ON,2023-05-03 00:55:39.503000
lumiBlock,1144,2023-05-03 05:06:27.994606
BOL1C09 JTAG fsm,REQUEST,2023-05-03 05:06:48.203000
lumiBlock,1147,2023-05-03 05:07:23.009455
BOL1C09 JTAG fsm,PRELOAD,2023-05-03 05:07:41.923000
BOL1C09 JTAG fsm,RESET,2023-05-03 05:07:41.933000
BOL1C09 JTAG fsm,STRINGLOAD,2023-05-03 05:07:44.242000
BOL1C09 JTAG fsm,VERIFY,2023-05-03 05:07:46.257000
BOL1C09 JTAG fsm,INITIALIZED,2023-05-03 05:07:47.338000
lumiBlock,1225,2023-05-03 05:50:33.265964
BOL1C09 JTAG fsm,REQUEST,2023-05-03 05:50:43.057000
lumiBlock,1226,2023-05-03 05:51:14.376450
BOL1C09 JTAG fsm,PRELOAD,2023-05-03 05:51:15.491000
BOL1C09 JTAG fsm,RESET,2023-05-03 05:51:15.502000
BOL1C09 JTAG fsm,STRINGLOAD,2023-05-03 05:51:17.811000
BOL1C09 JTAG fsm,VERIFY,2023-05-03 05:51:19.820000
BOL1C09 JTAG fsm,INITIALIZED,2023-05-03 05:51:20.729000
lumiBlock,1235,2023-05-03 05:55:36.978024
BOL1C09 JTAG fsm,REQUEST,2023-05-03 05:56:07.816000
lumiBlock,1236,2023-05-03 05:56:37.101637
BOL1C09 JTAG fsm,PRELOAD,2023-05-03 05:56:53.096000
BOL1C09 JTAG fsm,RESET,2023-05-03 05:56:53.115000
BOL1C09 JTAG fsm,STRINGLOAD,2023-05-03 05:56:55.425000
BOL1C09 JTAG fsm,VERIFY,2023-05-03 05:56:57.441000
BOL1C09 JTAG fsm,FAILED,2023-05-03 05:56:58.672000
BOL1C09 JTAG fsm,REQUEST,2023-05-03 05:56:58.879000
BOL1C09 JTAG fsm,PRELOAD,2023-05-03 05:57:14.904000
BOL1C09 JTAG fsm,RESET,2023-05-03 05:57:14.915000
BOL1C09 JTAG fsm,STRINGLOAD,2023-05-03 05:57:17.227000
BOL1C09 JTAG fsm,VERIFY,2023-05-03 05:57:19.239000
BOL1C09 JTAG fsm,INITIALIZED,2023-05-03 05:57:20.274000
lumiBlock,1450,2023-05-03 08:44:29.495320
BOL1C09 HV ML2 fsm,STANDBY,2023-05-03 08:44:46.583000
BOL1C09 HV ML1 fsm,STANDBY,2023-05-03 08:44:46.583000
lumiBlock,1460,2023-05-03 08:50:21.288417
