element_name,value_string,ts
lumiBlock,1,2023-06-09 05:53:34.210373
lumiBlock,2,2023-06-09 05:54:34.468408
lumiBlock,3,2023-06-09 05:55:20.547194
lumiBlock,4,2023-06-09 05:56:11.904199
lumiBlock,5,2023-06-09 05:56:22.018076
lumiBlock,6,2023-06-09 05:57:16.116257
lumiBlock,7,2023-06-09 05:57:26.273703
lumiBlock,8,2023-06-09 05:57:36.493645
lumiBlock,9,2023-06-09 05:57:46.531577
lumiBlock,10,2023-06-09 05:57:56.723351
lumiBlock,11,2023-06-09 05:58:06.949285
lumiBlock,12,2023-06-09 05:58:17.175194
lumiBlock,13,2023-06-09 05:58:32.452559
lumiBlock,14,2023-06-09 05:58:42.662196
lumiBlock,15,2023-06-09 05:58:52.890176
lumiBlock,16,2023-06-09 05:59:07.898517
lumiBlock,17,2023-06-09 05:59:18.109308
lumiBlock,18,2023-06-09 05:59:40.369415
lumiBlock,19,2023-06-09 05:59:50.606972
lumiBlock,20,2023-06-09 06:00:09.623896
lumiBlock,21,2023-06-09 06:00:19.840629
lumiBlock,22,2023-06-09 06:00:30.059280
lumiBlock,23,2023-06-09 06:00:57.252627
lumiBlock,24,2023-06-09 06:01:13.627902
lumiBlock,25,2023-06-09 06:01:42.716192
lumiBlock,26,2023-06-09 06:01:52.841127
lumiBlock,27,2023-06-09 06:02:09.906650
lumiBlock,28,2023-06-09 06:02:21.827859
lumiBlock,29,2023-06-09 06:02:35.575737
lumiBlock,30,2023-06-09 06:02:45.825229
lumiBlock,31,2023-06-09 06:02:56.040723
lumiBlock,32,2023-06-09 06:03:15.733586
lumiBlock,33,2023-06-09 06:03:25.774915
lumiBlock,34,2023-06-09 06:03:43.805660
lumiBlock,35,2023-06-09 06:03:54.014369
lumiBlock,36,2023-06-09 06:04:04.079839
lumiBlock,37,2023-06-09 06:04:14.739710
lumiBlock,38,2023-06-09 06:04:24.972916
lumiBlock,39,2023-06-09 06:04:35.197195
lumiBlock,40,2023-06-09 06:04:48.227847
lumiBlock,41,2023-06-09 06:05:08.411807
lumiBlock,42,2023-06-09 06:05:18.677146
lumiBlock,43,2023-06-09 06:05:28.892715
lumiBlock,44,2023-06-09 06:05:42.159330
lumiBlock,45,2023-06-09 06:05:55.040130
lumiBlock,46,2023-06-09 06:06:05.142437
lumiBlock,47,2023-06-09 06:06:15.926454
lumiBlock,48,2023-06-09 06:06:26.125767
lumiBlock,49,2023-06-09 06:06:40.589800
lumiBlock,50,2023-06-09 06:06:50.835324
lumiBlock,51,2023-06-09 06:07:01.059901
lumiBlock,52,2023-06-09 06:07:35.757469
lumiBlock,53,2023-06-09 06:07:45.797370
lumiBlock,54,2023-06-09 06:07:58.857176
lumiBlock,55,2023-06-09 06:08:59.075483
lumiBlock,56,2023-06-09 06:09:13.134104
lumiBlock,57,2023-06-09 06:09:50.921683
lumiBlock,58,2023-06-09 06:10:01.087368
lumiBlock,59,2023-06-09 06:10:21.037442
lumiBlock,60,2023-06-09 06:10:42.138115
lumiBlock,61,2023-06-09 06:10:55.939169
lumiBlock,62,2023-06-09 06:11:37.081369
lumiBlock,63,2023-06-09 06:11:57.448910
lumiBlock,64,2023-06-09 06:12:22.496163
lumiBlock,65,2023-06-09 06:12:32.670321
lumiBlock,66,2023-06-09 06:12:50.632695
lumiBlock,67,2023-06-09 06:13:04.669545
lumiBlock,68,2023-06-09 06:13:21.767585
lumiBlock,69,2023-06-09 06:13:45.487664
lumiBlock,70,2023-06-09 06:13:55.647759
lumiBlock,71,2023-06-09 06:14:10.009990
lumiBlock,72,2023-06-09 06:14:22.430149
lumiBlock,73,2023-06-09 06:14:36.031477
lumiBlock,74,2023-06-09 06:14:54.685642
lumiBlock,75,2023-06-09 06:15:08.251393
lumiBlock,76,2023-06-09 06:16:01.819440
lumiBlock,77,2023-06-09 06:16:14.854462
lumiBlock,78,2023-06-09 06:16:24.986113
lumiBlock,79,2023-06-09 06:17:01.499596
lumiBlock,80,2023-06-09 06:17:11.743650
lumiBlock,81,2023-06-09 06:17:26.708413
lumiBlock,82,2023-06-09 06:17:36.953730
lumiBlock,83,2023-06-09 06:17:50.637605
lumiBlock,84,2023-06-09 06:18:11.171290
lumiBlock,85,2023-06-09 06:19:11.246283
lumiBlock,86,2023-06-09 06:20:11.513250
lumiBlock,87,2023-06-09 06:20:54.629473
lumiBlock,88,2023-06-09 06:21:32.680335
lumiBlock,89,2023-06-09 06:22:00.770103
lumiBlock,90,2023-06-09 06:23:00.858861
lumiBlock,91,2023-06-09 06:23:37.512924
lumiBlock,92,2023-06-09 06:23:52.022901
lumiBlock,93,2023-06-09 06:24:02.131550
lumiBlock,94,2023-06-09 06:24:12.357545
lumiBlock,95,2023-06-09 06:24:22.582668
lumiBlock,96,2023-06-09 06:24:41.204128
lumiBlock,97,2023-06-09 06:25:20.357574
lumiBlock,98,2023-06-09 06:25:44.180037
lumiBlock,99,2023-06-09 06:26:44.411953
lumiBlock,100,2023-06-09 06:27:32.653481
lumiBlock,101,2023-06-09 06:27:52.660829
lumiBlock,102,2023-06-09 06:28:14.778703
lumiBlock,103,2023-06-09 06:29:11.860636
lumiBlock,104,2023-06-09 06:29:32.569931
lumiBlock,105,2023-06-09 06:30:00.658333
